"start","variable","value"
2020-01-27,"anxiety",-0.0572766484612753
2020-02-03,"anxiety",-0.0978235269445145
2020-02-10,"anxiety",-0.163965012504499
2020-02-17,"anxiety",0.00646714948868512
2020-02-24,"anxiety",0.178590994233331
2020-03-02,"anxiety",0.222216528461145
2020-03-09,"anxiety",0.422063660262458
2020-03-16,"anxiety",0.208468297694619
2020-03-23,"anxiety",0.077098217876604
2020-03-30,"anxiety",0.111826174620784
2020-04-06,"anxiety",0.0206147633684476
2020-04-13,"anxiety",-0.016914180430529
2020-04-20,"anxiety",0.0146943926492186
2020-04-27,"anxiety",0.869213634011278
2020-05-04,"anxiety",0.0692921965588849
2020-05-11,"anxiety",-0.112436996427092
2020-05-18,"anxiety",0.0977780067871868
2020-05-25,"anxiety",-0.0558050272983727
2020-06-01,"anxiety",0.150115953105647
2020-06-08,"anxiety",-0.0430656590598224
2020-06-15,"anxiety",-0.0781759056395616
2020-06-22,"anxiety",0.111468784937629
2020-06-29,"anxiety",-0.0339903779696848
2020-07-06,"anxiety",0.0843697949616603
2020-07-13,"anxiety",-0.113822844931104
2020-07-20,"anxiety",0.0756751468589904
2020-07-27,"anxiety",-0.0326498681558413
2020-08-03,"anxiety",-0.052543857076748
2020-08-10,"anxiety",0.0193755342500498
2020-08-17,"anxiety",0.0410486668756971
2020-08-24,"anxiety",0.0746265163669231
2020-08-31,"anxiety",0.0768237442071636
2020-09-07,"anxiety",0.0764521715133586
2020-09-14,"anxiety",0.141865750830727
2020-09-21,"anxiety",0.04031677085056
2020-09-28,"anxiety",0.018451312273386
2020-10-05,"anxiety",0.140945682755758
2020-10-12,"anxiety",-0.0569283245320738
2020-10-19,"anxiety",0.0643367406791875
2020-10-26,"anxiety",0.0531400863728477
2020-11-02,"anxiety",0.496855300814954
2020-11-09,"anxiety",0.0740579661854351
2020-11-16,"anxiety",0.0471032021023637
2020-11-23,"anxiety",0.156816914883668
2020-11-30,"anxiety",0.0376667562945379
2020-12-07,"anxiety",0.14230044547705
2020-12-14,"anxiety",0.0956031894455383
2020-12-21,"anxiety",0.171973448394502
2020-12-28,"anxiety",0.0940694472297956
