"date","N","variable","value"
2020-04-17,767,"posemo",0.102897988939035
2020-04-16,712,"posemo",0.0904839959995771
2020-04-15,530,"posemo",0.361979698592363
2020-04-14,993,"posemo",0.21258101761712
2020-04-13,884,"posemo",0.102595905102726
2020-04-12,624,"posemo",0.139533540676759
2020-04-11,1940,"posemo",0.0965830450033979
2020-04-10,1076,"posemo",-0.0138796122683011
2020-04-09,570,"posemo",0.0621520054559178
2020-04-08,1189,"posemo",0.205742421622918
2020-04-07,777,"posemo",0.0375053486015902
2020-04-06,1046,"posemo",0.223452013739187
2020-04-05,1011,"posemo",0.133027543767849
2020-04-04,2243,"posemo",0.00979619892068122
2020-04-03,4796,"posemo",0.0283442882687888
2020-01-07,2537,"posemo",0.0221237443469183
2020-01-14,2144,"posemo",-0.0152146965757102
2020-01-21,2412,"posemo",0.0684451695761007
2020-01-28,2692,"posemo",-0.0287847238205004
2020-02-04,2446,"posemo",0.0329127373946669
2020-02-11,3794,"posemo",-0.017844729109874
2020-02-18,2666,"posemo",-0.0328549553001273
2020-02-25,2676,"posemo",-0.0526551633459249
2020-03-03,4140,"posemo",0.0542419971823753
2020-03-10,5959,"posemo",-0.121028874262734
2020-03-17,5629,"posemo",0.0771992238272466
2020-03-24,4679,"posemo",0.0118229668830469
2020-03-31,5045,"posemo",-0.0293375103213001
2020-01-02,2435,"posemo",-0.0745227217044477
2020-01-09,2215,"posemo",-0.105636738595592
2020-01-16,2892,"posemo",0.00537192526278267
2020-01-23,2902,"posemo",0.0456853112300717
2020-01-30,2580,"posemo",0.0469410581854464
2020-02-06,3875,"posemo",-0.0552765587933572
2020-02-13,3224,"posemo",-0.0885522045965444
2020-02-20,2764,"posemo",0.000981148202835918
2020-02-27,4173,"posemo",-0.0986292699740521
2020-03-05,3605,"posemo",0.0334390155003037
2020-03-12,5067,"posemo",-0.111442661376099
2020-03-19,3815,"posemo",-0.0193645969249467
2020-03-26,4099,"posemo",0.105474108973733
2020-04-02,1834,"posemo",0.0211685206566173
2020-01-03,2595,"posemo",0.10055464854615
2020-01-10,2133,"posemo",-0.0702314381781883
2020-01-17,2737,"posemo",-0.0114445325997194
2020-01-24,2460,"posemo",0.0093184552248927
2020-01-31,2558,"posemo",0.0678970964009161
2020-02-07,2664,"posemo",-0.064978543512104
2020-02-14,3726,"posemo",0.0333962504332925
2020-02-21,2527,"posemo",0.0699913734348647
2020-02-28,3398,"posemo",-0.0334239335457663
2020-03-06,2865,"posemo",-0.0932837409010856
2020-03-13,5335,"posemo",-0.0679943486057806
2020-03-20,4980,"posemo",0.0336812685182201
2020-03-27,3841,"posemo",0.0773516901087657
2020-01-01,1994,"posemo",0.127110303425543
2020-01-08,2328,"posemo",0.00883941130914387
2020-01-15,2909,"posemo",0.0495497619851597
2020-01-22,3253,"posemo",0.0518000911632951
2020-01-29,2962,"posemo",0.160653680470688
2020-02-05,3133,"posemo",0.046934938781846
2020-02-12,3353,"posemo",0.0175587224195602
2020-02-19,3465,"posemo",-0.0297050058819968
2020-02-26,3031,"posemo",0.0186058969580064
2020-03-04,3712,"posemo",-0.0222728334443159
2020-03-11,4929,"posemo",-0.0881787426055464
2020-03-18,4865,"posemo",0.0918943126949741
2020-03-25,5826,"posemo",0.204631338308677
2020-04-01,4113,"posemo",0.0464473209133727
2020-01-06,2020,"posemo",0.00461987615366969
2020-01-13,2374,"posemo",0.0762712962015433
2020-01-20,2288,"posemo",0.0762715665786305
2020-01-27,2055,"posemo",-0.0019414673696043
2020-02-03,2102,"posemo",0.124506374660274
2020-02-10,2986,"posemo",0.0263638980608463
2020-02-17,2558,"posemo",0.0646775923792172
2020-02-24,3354,"posemo",0.0510747418177808
2020-03-02,3059,"posemo",-0.0427400689916743
2020-03-09,3057,"posemo",0.0147187231992422
2020-03-16,4975,"posemo",-0.0337234403832601
2020-03-23,4425,"posemo",0.0943064674797097
2020-03-30,4874,"posemo",0.0359657132709093
2020-01-04,2463,"posemo",0.0681400350111379
2020-01-11,1985,"posemo",-0.0433779008195563
2020-01-18,2401,"posemo",0.112124177164574
2020-01-25,2554,"posemo",0.126570350240016
2020-02-01,2080,"posemo",0.084141953807348
2020-02-08,2425,"posemo",-0.0577974935294298
2020-02-15,2989,"posemo",0.101055100374143
2020-02-22,2020,"posemo",-0.042360445176561
2020-02-29,2872,"posemo",-0.0625806498697545
2020-03-07,2814,"posemo",-0.0232002925493329
2020-03-14,4293,"posemo",-0.00760195465892002
2020-03-21,3987,"posemo",0.00135377809088775
2020-03-28,4588,"posemo",0.135424400117818
2020-01-05,3160,"posemo",-0.0570357284060506
2020-01-12,1743,"posemo",0.0154829449603916
2020-01-19,2702,"posemo",-0.0824443758963844
2020-01-26,2729,"posemo",0.00962928972663345
2020-02-02,2505,"posemo",-0.0346541158275123
2020-02-09,2466,"posemo",-0.0588951948512877
2020-02-16,2263,"posemo",0.0845482401659889
2020-02-23,2850,"posemo",0.0568970831172101
2020-03-01,3787,"posemo",-0.0245664999754437
2020-03-08,4108,"posemo",-0.0848945972132216
2020-03-15,6100,"posemo",-0.0804950766952074
2020-03-22,4666,"posemo",0.0210031976908635
2020-03-29,4054,"posemo",0.156161517251667
2020-06-30,611,"prosocial",0.249497040147749
2020-06-29,566,"prosocial",0.325953303641967
2020-06-28,397,"prosocial",-0.298437743227771
2020-06-27,635,"prosocial",0.408159576029837
2020-06-26,592,"prosocial",0.115679937569799
2020-06-25,818,"prosocial",0.130038970991756
2020-06-24,909,"prosocial",0.130132658817596
2020-06-23,650,"prosocial",-0.0278600990264159
2020-06-22,826,"prosocial",0.091136621293496
2020-06-21,794,"prosocial",0.605857296211758
2020-06-20,787,"prosocial",0.132944761952301
2020-06-19,761,"prosocial",0.131942667883918
2020-06-18,699,"prosocial",-0.0310583399687355
2020-06-17,722,"prosocial",-0.0494358395817165
2020-06-16,517,"prosocial",0.246160091260043
2020-06-15,765,"prosocial",-0.0961296266644836
2020-06-14,839,"prosocial",-0.097389986388288
2020-06-13,679,"prosocial",0.0707003099253309
2020-06-12,550,"prosocial",0.0322112466729261
2020-06-11,439,"prosocial",0.309678257334721
2020-06-10,644,"prosocial",0.273080824851111
2020-06-09,766,"prosocial",0.101686959657364
2020-06-08,977,"prosocial",-0.107425138051288
2020-06-07,599,"prosocial",-0.14555793660067
2020-06-06,514,"prosocial",-0.0743729018245123
2020-06-05,615,"prosocial",0.0012203642734324
2020-06-04,798,"prosocial",0.163381882802819
2020-06-03,909,"prosocial",0.117030641361498
2020-06-02,695,"prosocial",0.406532358733972
2020-06-01,364,"prosocial",-0.114003012585449
2020-05-31,225,"prosocial",-0.0140235935549812
2020-05-30,359,"prosocial",-0.24235488013191
2020-05-29,461,"prosocial",-0.0759271776073346
2020-05-28,421,"prosocial",0.134050145183095
2020-05-27,427,"prosocial",0.164087571193102
2020-05-26,706,"prosocial",0.144477593743004
2020-05-25,649,"prosocial",0.0992228637604582
2020-05-24,408,"prosocial",-0.137253156000444
2020-05-22,468,"prosocial",-0.264191056538299
2020-05-20,518,"prosocial",-0.338938977740197
2020-05-19,462,"prosocial",-0.144921359631216
2020-05-18,466,"prosocial",-0.148549229532098
2020-05-17,532,"prosocial",0.238863155011758
2020-05-15,534,"prosocial",0.144771632964846
2020-05-14,382,"prosocial",-0.124744481938431
2020-05-13,596,"prosocial",-0.302338392834963
2020-05-12,749,"prosocial",-0.093519832609932
2020-05-11,608,"prosocial",0.428411924857718
2020-05-10,343,"prosocial",0.136886642762619
2020-05-09,215,"prosocial",-0.265453837121644
2020-05-08,330,"prosocial",-0.0639877606113775
2020-05-07,408,"prosocial",-0.35727556604065
2020-05-06,585,"prosocial",-0.0842539572529003
2020-05-05,637,"prosocial",-0.220399934353185
2020-05-04,756,"prosocial",-0.178555131625643
2020-05-03,635,"prosocial",-0.0638919789944052
2020-05-02,550,"prosocial",-0.137140046564659
2020-05-01,415,"prosocial",-0.319263900879453
